Selection,Sound_file,Start_time,End_time,Call_type
1,04-040920-02_vehicle_1.wav,30.6492,33.41613926,rumble
2,04-040920-02_vehicle_1.wav,32.0326,36.39585037,rumble
3,04-040920-02_vehicle_1.wav,33.3097,40.75915185,rumble
4,04-040920-02_vehicle_2.wav,25.7693,30.23897111,rumble
5,04-040920-03_vehicle_noise_1.wav,19.0842,24.51165778,rumble
6,04-040920-03_vehicle_noise_1.wav,24.2989,26.00163185,rumble
7,04-040920-03_vehicle_noise_1.wav,25.6218,27.75021481,rumble
8,04-040920-03_vehicle_noise_1.wav,26.8988,31.31526074,rumble
9,04-040920-03_vehicle_noise_1.wav,125.0646,128.6829052,rumble
10,04-061218-25_vehicle_noise_1.wav,13.5536,15.46917333,rumble
11,04-061218-25_vehicle_noise_1.wav,24.6745,27.97354296,rumble
12,04-061218-25_vehicle_noise_1.wav,29.6763,33.02855333,rumble
13,061220-24_airplane_01.wav,23.8035,25.39981111,rumble
14,090224-09_generator_01.wav,50.5826,53.45596,rumble
15,090224-09_generator_01.wav,115.4863,124.10638,rumble
16,090224-09_generator_01.wav,152.7774,157.6195437,rumble
17,090224-09_generator_01.wav,273.6229,277.6136778,rumble
18,090224-09_generator_01.wav,280.2742,282.8282978,rumble
19,1989-06_airplane_01.wav,15.1885,21.89300667,rumble
20,1989-06_airplane_01.wav,54.7481,58.73887778,rumble
21,1989-06_airplane_01.wav,70.1472,73.18019111,rumble
22,1989-08_airplane_01.wav,18.0101,20.40456667,rumble
23,1989-08_airplane_01.wav,22.1605,24.71459778,rumble
24,1989-08_airplane_01.wav,31.0999,34.71820518,rumble
25,1989-08_airplane_01.wav,33.5475,35.46307333,rumble
26,1989-08_airplane_01.wav,35.3035,39.82638148,rumble
27,1989-08_airplane_01.wav,42.4337,46.37126741,rumble
28,1989-08_airplane_01.wav,45.8923,48.97850148,rumble
29,1989-08_airplane_01.wav,50.2024,53.12897037,rumble
30,1989-08_airplane_01.wav,52.7033,54.83171481,rumble
31,1989-08_airplane_01.wav,80.6928,85.9074163,rumble
32,1989-08_airplane_01.wav,86.2267,88.94042889,rumble
33,1989-08_airplane_01.wav,88.8872,92.45229481,rumble
34,1989-08_airplane_02.wav,18.7263,21.33360815,rumble
35,1989-08_airplane_02.wav,22.8767,25.53721852,rumble
36,1989-08_airplane_02.wav,31.7696,35.1750637,rumble
37,1989-08_airplane_02.wav,34.5365,36.34565259,rumble
38,1989-08_airplane_02.wav,36.2925,40.70896074,rumble
39,1989-08_airplane_03.wav,16.6567,18.94474593,rumble
40,1989-08_airplane_03.wav,20.7539,23.41441852,rumble
41,1989-08_airplane_03.wav,29.6764,33.02865333,rumble
42,1989-08_airplane_03.wav,32.2305,33.98644222,rumble
43,1989-08_airplane_03.wav,33.88,38.40288148,rumble
44,1989-08_airplane_03.wav,41.2231,45.90561259,rumble
45,1989-08_airplane_03.wav,48.85,53.47930222,rumble
46,1989-08_airplane_03.wav,53.961,59.92056148,rumble
47,1989-08_airplane_03.wav,79.7149,84.76988518,rumble
48,1989-08_airplane_03.wav,85.0359,87.74962889,rumble
49,1989-08_airplane_03.wav,87.7496,90.83580148,rumble
50,1989-08_airplane_03.wav,120.6345,123.2418081,rumble
51,1989-08_airplane_03.wav,126.1845,132.3036926,rumble
52,1989-08_airplane_03.wav,145.9255,148.2135459,rumble
53,1989-08_airplane_03.wav,147.5219,152.0447815,rumble
54,1989-08_airplane_03.wav,157.8447,165.5602037,rumble
55,1989-08_airplane_03.wav,169.8412,172.0228252,rumble
56,1989-08_airplane_03.wav,171.4375,174.4172807,rumble
57,1989-08_airplane_03.wav,176.865,183.7291378,rumble
58,1989-08_airplane_03.wav,178.8338,180.5365319,rumble
59,2000-23_background_and_vehicle_noise_2.wav,21.5852,26.00166074,rumble
60,2000-23_background_and_vehicle_noise_2.wav,25.8421,28.2473138,rumble
61,2000-23_background_and_vehicle_noise_2.wav,28.6198,30.10969037,trumpet
62,2000-23_background_and_vehicle_noise_2.wav,29.3115,33.62154,rumble
63,2000-23_background_and_vehicle_noise_2.wav,33.4619,34.73894889,trumpet
64,2000-23_background_and_vehicle_noise_2.wav,46.7113,51.23418148,rumble
65,2000-23_background_noise_1.wav,8.5713,12.93455037,rumble
66,2000-23_background_noise_1.wav,20.8097,25.38579185,rumble
67,2000-23_background_noise_1.wav,25.403,31.78824444,rumble
68,2000-23_background_vehicle_noise.wav,4.3753,8.100025925,rumble
69,2000-23_background_vehicle_noise.wav,19.3274,23.05212593,rumble
70,2000-23_vehicle_noise_1.wav,6.1912,11.83149926,rumble
71,2000-23_vehicle_noise_1.wav,64.068,71.2920786,rumble
72,2000-23_vehicle_noise_1.wav,136.2342,140.5974504,rumble
73,2000-23_vehicle_noise_2.wav,8.0875,13.3021163,rumble
74,2000-23_vehicle_noise_3.wav,5.7976,11.33147852,rumble
75,2000-23_vehicle_noise_3.wav,24.1384,31.00253778,rumble
76,2000-23_vehicle_noise_4.wav,6.5301,10.36124667,rumble
77,2000-23_vehicle_noise_4.wav,14.4585,20.7373237,rumble
78,2000-23_vehicle_noise_4.wav,26.0051,29.46377407,rumble
79,2000-23_vehicle_noise_4.wav,39.4629,45.79493407,rumble
80,2000-23_vehicle_noise_4.wav,51.4884,58.51216889,rumble
81,2000-24_generator_noise_1.wav,56.3577,59.23106,rumble
82,2000-24_generator_noise_2.wav,80.1582,83.88292593,rumble
83,2000-24_generator_noise_2.wav,199.7774,203.6085467,rumble
84,2000-24_generator_noise_2.wav,214.2506,218.9331126,rumble
85,2000-24_generator_noise_2.wav,228.4046,235.4218933,rumble
86,2000-24_generator_noise_2.wav,260.0582,264.4746607,rumble
87,2000-24_generator_noise_3.wav,10.6417,13.30221852,rumble
88,2000-24_generator_noise_3.wav,13.9407,19.63420963,rumble
89,2000-24_generator_noise_4.wav,19.0808,24.18899555,rumble
90,2000-24_generator_noise_4.wav,72.4093,79.27343778,rumble
