call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted
04-040920-02_vehicle_1_c000,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-02_vehicle_1.wav,30.6492,33.41613926,car,4000,116596,139664,122596,133664,48000,2761417,1,1471161,1603974,21.484375,False,0.0,2.41,2.41,0.0,21.5,0.579,11,19,True,True
04-040920-02_vehicle_1_c001,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-02_vehicle_1.wav,32.0326,36.39585037,car,4000,122130,151583,128130,145583,48000,2761417,1,1537564,1747000,25.390625,False,0.0,6.74,11.48,4.73,25.4,0.316,6,19,True,False
04-040920-02_vehicle_1_c002,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-02_vehicle_1.wav,33.3097,40.75915185,car,4000,127238,169036,133238,163036,48000,2761417,1,1598865,1956439,19.53125,False,0.0,-0.02,7.35,7.37,19.5,0.737,14,19,True,False
04-040920-02_vehicle_2_c003,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-02_vehicle_2.wav,25.7693,30.23897111,car,4000,97077,126955,103077,120955,48000,2470742,1,1236926,1451470,31.25,True,15.625,4.29,8.4,4.11,31.2,0.316,6,19,True,False
04-040920-03_vehicle_noise_1_c004,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-03_vehicle_noise_1.wav,19.0842,24.51165778,car,4000,70336,104046,76336,98046,48000,8111006,1,916041,1176559,25.390625,False,0.0,5.28,13.8,8.52,25.4,0.684,13,19,True,False
04-040920-03_vehicle_noise_1_c005,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-03_vehicle_noise_1.wav,24.2989,26.00163185,car,4000,91195,110006,97195,104006,48000,8111006,1,1166347,1248078,25.390625,False,0.0,5.65,9.67,4.03,25.4,0.737,14,19,True,False
04-040920-03_vehicle_noise_1_c006,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-03_vehicle_noise_1.wav,25.6218,27.75021481,car,4000,96487,117000,102487,111000,48000,8111006,1,1229846,1332010,19.53125,False,0.0,2.88,3.76,0.88,19.5,0.789,15,19,True,False
04-040920-03_vehicle_noise_1_c007,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-03_vehicle_noise_1.wav,26.8988,31.31526074,car,4000,101595,131261,107595,125261,48000,8111006,1,1291142,1503132,23.4375,False,0.0,3.84,6.66,2.83,23.4,0.737,14,19,True,False
04-040920-03_vehicle_noise_1_c008,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-040920-03_vehicle_noise_1.wav,125.0646,128.6829052,car,4000,494258,520731,500258,514731,48000,8111006,1,6003100,6176779,27.34375,False,0.0,9.2,9.93,0.73,27.3,0.632,12,19,True,False
04-061218-25_vehicle_noise_1_c009,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-061218-25_vehicle_noise_1.wav,13.5536,15.46917333,car,4000,48214,67876,54214,61876,48000,7338888,1,650572,742520,33.203125,False,0.0,2.8,11.62,8.81,33.2,0.368,7,19,True,False
04-061218-25_vehicle_noise_1_c010,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-061218-25_vehicle_noise_1.wav,24.6745,27.97354296,car,4000,92698,117894,98698,111894,48000,7338888,1,1184376,1342730,27.34375,False,0.0,5.47,10.87,5.4,27.3,0.579,11,19,True,False
04-061218-25_vehicle_noise_1_c011,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\04-061218-25_vehicle_noise_1.wav,29.6763,33.02855333,car,4000,112705,138114,118705,132114,48000,7338888,1,1424462,1585370,15.625,False,0.0,1.14,6.6,5.46,15.6,0.526,10,19,True,False
061220-24_airplane_01_c012,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\061220-24_airplane_01.wav,23.8035,25.39981111,airplane,4000,89214,107599,95214,101599,48000,2199962,1,1142568,1219190,31.25,True,15.625,17.53,17.66,0.13,31.2,0.211,4,19,True,False
090224-09_generator_01_c013,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\090224-09_generator_01.wav,50.5826,53.45596,generator_60hz,4000,196330,219823,202330,213823,48000,19730780,1,2427964,2565886,15.625,False,0.0,5.7,5.7,0.0,15.6,0.947,18,19,True,True
090224-09_generator_01_c014,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\090224-09_generator_01.wav,115.4863,124.10638,generator_60hz,4000,455945,502425,461945,496425,48000,19730780,1,5543342,5957106,29.296875,True,15.625,11.1,18.8,7.7,29.3,0.105,2,19,False,False
090224-09_generator_01_c015,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\090224-09_generator_01.wav,152.7774,157.6195437,generator_60hz,4000,605109,636478,611109,630478,48000,19730780,1,7333315,7565738,13.671875,False,0.0,7.19,7.71,0.53,13.7,0.895,17,19,True,False
090224-09_generator_01_c016,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\090224-09_generator_01.wav,273.6229,277.6136778,generator_60hz,4000,1088491,1116454,1094491,1110454,48000,19730780,1,13133899,13325456,19.53125,True,13.671875,1.1,1.1,0.0,19.5,0.737,14,19,True,True
090224-09_generator_01_c017,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\090224-09_generator_01.wav,280.2742,282.8282978,generator_60hz,4000,1115096,1137313,1121096,1131313,48000,19730780,1,13453161,13575758,25.390625,True,13.671875,10.37,13.35,2.98,25.4,0.053,1,19,False,False
1989-06_airplane_01_c018,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-06_airplane_01.wav,15.1885,21.89300667,airplane,4000,54754,93572,60754,87572,48000,3985815,1,729048,1050864,19.53125,False,0.0,-0.46,2.54,3.0,19.5,0.632,12,19,True,False
