source,target,weight
04-040920-02_vehicle_1_c000,04-040920-03_vehicle_noise_1_c006,0.825
04-040920-02_vehicle_1_c000,1989-08_airplane_03_c042,0.801
04-040920-02_vehicle_1_c000,2000-24_generator_noise_2_c081,0.867
04-040920-02_vehicle_1_c000,2000-24_vehicle_noise_1_c105,0.941
04-040920-02_vehicle_1_c000,99-24_airplane_01_c138,0.862
04-040920-02_vehicle_1_c000,99-37_airplane_and_vehicle_01_c144,0.881
04-040920-02_vehicle_1_c000,99-45_airplane_03_c157,0.808
04-040920-02_vehicle_1_c000,99-45_vehicle_01_c174,0.836
04-040920-02_vehicle_1_c000,99-45_vehicle_01_c187,0.838
04-040920-02_vehicle_1_c001,1989-08_airplane_03_c039,0.813
04-040920-02_vehicle_1_c001,2000-24_generator_noise_4_c088,0.891
04-040920-02_vehicle_1_c001,2000-24_vehicle_noise_1_c101,0.904
04-040920-02_vehicle_1_c001,99-37_airplane_02_c142,0.833
04-040920-02_vehicle_1_c001,99-45_vehicle_01_c189,0.804
04-040920-02_vehicle_1_c001,99-45_vehicle_02_c197,0.916
04-040920-02_vehicle_1_c002,1989-06_airplane_01_c018,0.802
04-040920-02_vehicle_1_c002,2000-24_generator_noise_4_c089,0.854
04-040920-02_vehicle_1_c002,2000-24_vehicle_noise_1_c099,0.844
04-040920-02_vehicle_1_c002,2000-24_vehicle_noise_1_c112,0.838
04-040920-02_vehicle_2_c003,1989-08_airplane_03_c048,0.893
04-040920-02_vehicle_2_c003,2000-23_background_noise_1_c066,0.891
04-040920-02_vehicle_2_c003,2000-23_background_vehicle_noise_c068,0.878
04-040920-02_vehicle_2_c003,2000-23_vehicle_noise_1_c071,0.948
04-040920-02_vehicle_2_c003,2000-23_vehicle_noise_4_c078,0.854
04-040920-02_vehicle_2_c003,2000-24_generator_noise_2_c082,0.889
04-040920-02_vehicle_2_c003,2000-24_generator_noise_3_c086,0.852
04-040920-02_vehicle_2_c003,2000-3_airplane_02_c117,0.928
04-040920-02_vehicle_2_c003,2000-3_airplane_03_c118,0.912
04-040920-02_vehicle_2_c003,99-45_vehicle_01_c184,0.926
04-040920-02_vehicle_2_c003,99-45_vehicle_02_c192,0.957
04-040920-02_vehicle_2_c003,99-45_vehicle_02_c193,0.924
04-040920-02_vehicle_2_c003,99-45_vehicle_02_c194,0.864
04-040920-03_vehicle_noise_1_c004,2000-24_vehicle_noise_1_c100,0.919
04-040920-03_vehicle_noise_1_c005,1989-06_airplane_01_c020,0.818
04-040920-03_vehicle_noise_1_c005,1989-08_airplane_01_c022,0.805
04-040920-03_vehicle_noise_1_c005,99-45_vehicle_01_c174,0.809
04-040920-03_vehicle_noise_1_c005,99-45_vehicle_01_c179,0.83
04-040920-03_vehicle_noise_1_c005,99-45_vehicle_01_c190,0.801
04-040920-03_vehicle_noise_1_c006,090224-09_generator_01_c013,0.93
04-040920-03_vehicle_noise_1_c006,1989-08_airplane_01_c022,0.842
04-040920-03_vehicle_noise_1_c006,1989-08_airplane_01_c031,0.821
04-040920-03_vehicle_noise_1_c006,2000-23_background_and_vehicle_noise_2_c058,0.832
04-040920-03_vehicle_noise_1_c006,2000-24_generator_noise_2_c081,0.844
04-040920-03_vehicle_noise_1_c006,2000-24_generator_noise_4_c091,0.924
04-040920-03_vehicle_noise_1_c006,2000-24_vehicle_noise_1_c105,0.814
04-040920-03_vehicle_noise_1_c006,99-22A_airplane_01_c132,0.823
04-040920-03_vehicle_noise_1_c006,99-24_airplane_01_c138,0.916
04-040920-03_vehicle_noise_1_c006,99-24_airplane_01_c139,0.891
04-040920-03_vehicle_noise_1_c006,99-45_airplane_01_c148,0.89
04-040920-03_vehicle_noise_1_c006,99-45_vehicle_01_c174,0.941
04-040920-03_vehicle_noise_1_c006,99-45_vehicle_01_c187,0.88
04-040920-03_vehicle_noise_1_c006,99-45_vehicle_01_c188,0.883
04-040920-03_vehicle_noise_1_c006,99-45_vehicle_01_c190,0.882
04-040920-03_vehicle_noise_1_c007,090224-09_generator_01_c013,0.845
04-040920-03_vehicle_noise_1_c007,090224-09_generator_01_c015,0.834
04-040920-03_vehicle_noise_1_c007,1989-08_airplane_03_c056,0.839
04-040920-03_vehicle_noise_1_c007,2000-23_background_and_vehicle_noise_2_c058,0.873
04-040920-03_vehicle_noise_1_c007,2000-23_vehicle_noise_1_c069,0.853
04-040920-03_vehicle_noise_1_c007,2000-24_generator_noise_4_c091,0.807
04-040920-03_vehicle_noise_1_c007,2000-24_generator_noise_4_c096,0.905
04-040920-03_vehicle_noise_1_c007,2000-24_vehicle_noise_1_c106,0.88
04-040920-03_vehicle_noise_1_c007,2002-2_airplane_01_c120,0.825
04-040920-03_vehicle_noise_1_c007,99-45_vehicle_01_c187,0.872
04-040920-03_vehicle_noise_1_c008,1989-08_airplane_01_c030,0.848
04-040920-03_vehicle_noise_1_c008,2000-23_vehicle_noise_4_c075,0.986
04-040920-03_vehicle_noise_1_c008,2000-24_generator_noise_4_c092,0.914
04-040920-03_vehicle_noise_1_c008,2000-24_vehicle_and_generator_noise_1_c098,0.896
04-061218-25_vehicle_noise_1_c009,1989-08_airplane_03_c039,0.929
04-061218-25_vehicle_noise_1_c009,1989-08_airplane_03_c057,0.851
04-061218-25_vehicle_noise_1_c009,2000-24_vehicle_noise_1_c109,0.949
04-061218-25_vehicle_noise_1_c009,2000-24_vehicle_noise_1_c110,0.896
04-061218-25_vehicle_noise_1_c009,99-45_vehicle_01_c189,0.875
04-061218-25_vehicle_noise_1_c009,99-45_vehicle_02_c201,0.831
04-061218-25_vehicle_noise_1_c009,99-45_vehicle_02_c203,0.887
04-061218-25_vehicle_noise_1_c010,99-45_vehicle_01_c180,0.85
04-061218-25_vehicle_noise_1_c011,2003-7_airplane_01_c123,0.885
04-061218-25_vehicle_noise_1_c011,99-45_vehicle_01_c161,0.919
04-061218-25_vehicle_noise_1_c011,99-45_vehicle_01_c170,0.926
061220-24_airplane_01_c012,1989-08_airplane_03_c048,0.927
061220-24_airplane_01_c012,1989-08_airplane_03_c051,0.834
061220-24_airplane_01_c012,2000-23_background_vehicle_noise_c068,0.889
061220-24_airplane_01_c012,2000-24_generator_noise_2_c082,0.811
061220-24_airplane_01_c012,2000-3_airplane_02_c117,0.833
061220-24_airplane_01_c012,99-22A_airplane_01_c130,0.989
